<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACB,20160427,18.1,18.1,17.8,17.8,241006,18.1,18.1,17.8,17.8,0,0,0
ACB,20160426,18.0,18.1,17.9,18.0,117712,18.0,18.1,17.9,18.0,0,0,0
ACB,20160425,18.0,18.3,17.9,18.0,19229,18.0,18.3,17.9,18.0,0,0,0
ACB,20160422,17.5,18.2,17.5,18.2,126434,17.5,18.2,17.5,18.2,0,0,0
ACB,20160421,17.7,17.7,17.5,17.7,76583,17.7,17.7,17.5,17.7,42,0,0
ACB,20160420,18.0,18.0,17.7,17.7,73200,18.0,18.0,17.7,17.7,8,0,0
ACB,20160419,18.2,18.2,17.7,17.8,27773,18.2,18.2,17.7,17.8,5,0,0
ACB,20160415,18.3,18.3,17.8,17.9,66580,18.3,18.3,17.8,17.9,31,0,0
ACB,20160414,18.0,18.2,17.8,17.8,89740,18.0,18.2,17.8,17.8,0,0,0
ACB,20160413,18.3,18.3,18.0,18.1,94770,18.3,18.3,18.0,18.1,130127,0,0
ACB,20160412,18.4,18.4,18.3,18.3,71515,18.4,18.4,18.3,18.3,0,0,0
ACB,20160411,18.4,18.4,18.3,18.4,49001,18.4,18.4,18.3,18.4,55,0,0
ACB,20160408,18.3,18.5,18.2,18.5,51607,18.3,18.5,18.2,18.5,40,0,0
ACB,20160407,18.0,18.3,18.0,18.2,32738,18.0,18.3,18.0,18.2,0,0,0
ACB,20160406,18.0,18.0,17.8,17.9,164962,18.0,18.0,17.8,17.9,130,0,0
ACB,20160405,18.2,18.2,18.0,18.0,59056,18.2,18.2,18.0,18.0,33,0,0
ACB,20160404,18.5,18.5,18.0,18.3,69304,18.5,18.5,18.0,18.3,18000,0,0
ACB,20160401,18.5,18.7,18.3,18.3,125723,18.5,18.7,18.3,18.3,20,0,0
ACB,20160331,18.4,18.4,18.0,18.3,104162,18.4,18.4,18.0,18.3,139,0,0
