Ticker,Date,Price,Volume
ACB,20160427,17.8,241006
ACB,20160426,18,117712
ACB,20160425,18,19229
ACB,20160422,18.2,126434
ACB,20160421,17.7,76583
ACB,20160420,17.7,73200
ACB,20160419,17.8,27773
ACB,20160415,17.9,66580
ACB,20160414,17.8,89740
ACB,20160413,18.1,94770
ACB,20160412,18.3,71515
ACB,20160411,18.4,49001
ACB,20160408,18.5,51607
ACB,20160407,18.2,32738
ACB,20160406,17.9,164962
ACB,20160405,18,59056
ACB,20160404,18.3,69304
ACB,20160401,18.3,125723
ACB,20160331,18.3,104162
ACB,20160330,17.7,215414
ACB,20160329,18.5,72908
ACB,20160328,18.6,28313
ACB,20160325,18.6,28280
ACB,20160324,18.7,60102
ACB,20160323,18.8,349539
ACB,20160322,18.9,143433
ACB,20160321,19,48938
ACB,20160318,19.1,49217
ACB,20160317,19.1,51939
ACB,20160316,19.2,85539
ACB,20160315,19.2,75369
ACB,20160314,19.1,130070
ACB,20160311,19.4,38679
ACB,20160310,19.3,127860
ACB,20160309,19.4,72850
ACB,20160308,19,349888
ACB,20160307,19.8,168692
ACB,20160304,19.7,106154
ACB,20160303,19.5,209795
ACB,20160302,19.5,187244
ACB,20160301,19.6,140511
ACB,20160229,19.7,192525
ACB,20160226,19.9,54693
ACB,20160225,19.8,170309
ACB,20160224,20,613706
ACB,20160223,19.2,268334
ACB,20160222,19.2,93741
ACB,20160219,19.2,162020
ACB,20160218,19.2,65316
ACB,20160217,19.2,141492
ACB,20160216,19.4,114193
ACB,20160215,19,25161
ACB,20160205,19.1,59764
ACB,20160204,19,120031
ACB,20160203,19,80000
ACB,20160202,19,113430
ACB,20160201,18.9,158690
ACB,20160129,19,85979
ACB,20160128,19,29261
ACB,20160127,19,154443
ACB,20160126,19,43819
ACB,20160125,19.1,143015
ACB,20160122,18.6,29413
ACB,20160121,18.9,91172
ACB,20160120,18.9,195341
ACB,20160119,18.9,71934
ACB,20160118,18.6,325887
ACB,20160115,19.1,260588
ACB,20160114,19,315858
ACB,20160113,19,81357
ACB,20160112,19,48154
ACB,20160111,19,37405
ACB,20160108,19.1,84809
ACB,20160107,19.1,94027
ACB,20160106,19.5,40589
ACB,20160105,19.4,47676
ACB,20160104,19.7,36439
ACB,20151231,19.8,49268
ACB,20151230,19.5,23229
ACB,20151229,19.4,66664
ACB,20151228,19.3,31329
ACB,20151225,19.2,42647
ACB,20151224,19.2,46337
ACB,20151223,19.2,99719
ACB,20151222,19.3,3990
ACB,20151221,19.4,64500
ACB,20151218,19.2,61210
ACB,20151217,19.5,65682
ACB,20151216,19.3,231288
ACB,20151215,19.3,185385
ACB,20151214,19.4,10348
ACB,20151211,19.4,42621
ACB,20151210,19.3,53969
ACB,20151209,19.6,19516
ACB,20151208,19.6,198616
ACB,20151207,19.4,106274
ACB,20151204,19.4,93512
ACB,20151203,19.4,120400
ACB,20151202,19.5,175800
ACB,20151201,19.4,70757
